"household_id2","ea_id2","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","pop_density","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","srtm","twi","srtm_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2015_tot","h2015_wetQ","h2015_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2015_eviarea","h2015_evimax","h2015_grn","h2015_sen","lat_dd_mod","lon_dd_mod"
"010101088801601002","010101088801601",50,53,105,134,198,"0-50",264,258,699,219,525,55,30,312,1103,13,8,1,1,1,1,1,1,1,974,771,18,1272,917,18,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601017","010101088801601",50,53,106,135,198,"0-50",263,257,700,219,526,48,30,312,1101,13,3,1,1,1,1,1,1,1,973,770,18,1273,918,18,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601034","010101088801601",46,49,100,135,195,"0-50",262,256,721,226,543,78,14,312,1158,12,8,1,1,1,1,1,1,1,988,783,18,1296,931,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601049","010101088801601",46,49,100,135,195,"0-50",262,256,721,226,543,83,14,312,1154,12,8,1,1,1,1,1,1,1,988,784,18,1297,931,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601064","010101088801601",46,49,100,135,195,"0-50",262,256,721,226,543,85,14,312,1162,13,8,1,1,1,1,1,1,1,988,784,18,1295,930,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601080","010101088801601",46,49,100,135,195,"0-50",262,256,721,226,543,87,14,312,1147,12,8,1,1,1,1,1,1,1,989,784,18,1296,931,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601087","010101088801601",46,49,100,135,195,"0-50",262,256,721,226,543,87,14,312,1151,15,8,1,1,1,1,1,1,1,988,784,18,1295,931,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601101","010101088801601",47,50,100,134,195,"0-50",262,256,717,224,539,86,14,312,1133,13,3,1,1,1,1,1,1,1,988,784,18,1291,928,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601116","010101088801601",47,50,101,134,196,"0-50",262,256,714,223,536,62,14,312,1157,12,8,1,1,1,1,1,1,1,985,781,18,1288,927,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
"010101088801601131","010101088801601",47,50,100,134,195,"0-50",262,256,717,224,539,89,14,312,1140,14,8,1,1,1,1,1,1,1,988,784,18,1292,929,19,46,0.432,177,257,40,0.386,173,256,14.353816185,37.890876313
