household_id,household_id2,ea_id,ea_id2,coord_desc,dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2013_eviarea,h2013_evimax,h2013_grn,h2013_sen,lat_dd_mod,lon_dd_mod
01010101601002,010101088801601002,01010101601,010101088801601,1,50.3,53.2,105.3,133.9,198.4,0-50,264,258,699,219,525,55,30,312,1103,13,8,1,1,1,1,1,1,1,940,728,18,1441,753,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601017,010101088801601017,01010101601,010101088801601,1,50,52.9,105.1,134.1,198.1,0-50,263,257,700,219,526,53,30,312,1100,12,8,1,1,1,1,1,1,1,940,729,18,1442,753,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601034,010101088801601034,01010101601,010101088801601,1,46,49.2,100.1,135.2,194.6,0-50,262,256,721,226,543,78,14,312,1158,12,8,1,1,1,1,1,1,1,951,738,18,1462,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601049,010101088801601049,01010101601,010101088801601,1,46,49.2,100.1,135.1,194.7,0-50,262,256,721,226,543,83,14,312,1156,13,8,1,1,1,1,1,1,1,952,738,18,1463,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601064,010101088801601064,01010101601,010101088801601,1,46.1,49.3,100.1,135,194.8,0-50,262,256,721,226,543,85,14,312,1162,13,8,1,1,1,1,1,1,1,952,738,18,1462,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601080,010101088801601080,01010101601,010101088801601,1,46,49.2,99.9,134.9,194.7,0-50,262,256,721,226,543,87,14,312,1154,13,8,1,1,1,1,1,1,1,952,739,18,1463,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601087,010101088801601087,01010101601,010101088801601,1,46,49.2,100,135,194.7,0-50,262,256,721,226,543,87,14,312,1151,15,8,1,1,1,1,1,1,1,952,739,18,1463,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601101,010101088801601101,01010101601,010101088801601,1,46.8,50,100.2,134.1,195.5,0-50,262,256,717,224,539,86,14,312,1133,13,3,1,1,1,1,1,1,1,953,739,18,1463,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601116,010101088801601116,01010101601,010101088801601,1,47.2,50.4,101.3,134.4,195.8,0-50,262,256,714,223,536,62,14,312,1150,12,8,1,1,1,1,1,1,1,950,737,18,1458,757,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601131,010101088801601131,01010101601,010101088801601,1,46.6,49.8,100.3,134.4,195.3,0-50,262,256,717,224,539,89,14,312,1140,14,8,1,1,1,1,1,1,1,952,739,18,1462,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010101601146,010101088801601146,01010101601,010101088801601,1,45.9,49.1,99.9,135.1,194.5,0-50,262,256,721,226,543,83,14,312,1151,12,8,1,1,1,1,1,1,1,952,739,18,1463,758,24,47,0.4355,178,257,45,0.4397,185,260,14.353816185,37.890876313
01010201403001,010102088801403001,01010201403,010102088801403,1,18.7,19,90.6,167.4,161.9,50-100,221,213,860,278,655,84,14,322,1726,11,13,1,1,2,1,1,1,2,908,697,18,1520,761,24,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010201403011,010102088801403011,01010201403,010102088801403,1,18.8,19.1,91.2,168,161.6,50-100,217,210,865,280,658,62,20,322,1778,12,13,1,1,2,1,1,1,2,905,695,18,1517,760,24,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010201403016,010102088801403016,01010201403,010102088801403,1,19.4,19.7,91.8,167.8,162.1,50-100,217,210,865,280,658,45,30,322,1813,13,3,1,1,2,1,1,1,2,903,693,18,1514,760,24,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
