"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_s7q01","pp_s7q02","pp_s7q03","pp_s7q04","pp_s7q05","pp_s7q06","pp_s7q07","pp_s7q08","pp_s7q09","pp_s7q10_a","pp_s7q10_b","pp_s7q11","pp_s7q12","pp_s7q13","pp_s7q14","pp_s7q15","pp_s7q16"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,1,2,2,2,3,2,2,1,,5,,4,,0,0,0,0
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,2,1,2,6,2,3,2,4,1,,5,,3,,0,0,0,0
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,1,2,3,2,2,2,4,1,,5,,2,,0,0,0,0
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,16,1,34,1,2,2,7,2,5,2,2,1,,5,,0,2,0,0,0,0
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,1,2,2,2,2,5,2,6,1,,5,,0,1,0,0,0,0
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,1,2,2,3,2,5,2,2,1,,5,,1,2,,0,0,0
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,1,2,2,2,2,4,2,2,1,,5,,0,7,0,0,0,0
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,1,2,2,2,3,2,2,1,,5,,1,2,0,0,0,0
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,1,1,,1,,1,,1,,2,,0,1,50,50,,
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,1,1,16,1,131,1,1,2,3,2,3,2,2,1,,5,,2,3,0,0,0,0
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,1,1,16,1,146,1,1,2,3,2,2,2,2,1,,5,,0,1,,0,0,0
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,1,1,1,,1,,1,,1,,1,2,5,,200,100,100,
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,1,1,,1,,1,,1,,1,2,1,2,50,50,,
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,1,1,,1,,1,,1,,1,2,2,,150,100,50,
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,1,2,2,2,1,2,2,2,3,5,,3,6,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,1,1,,1,,1,,1,,1,2,2,,200,100,100,
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,1,1,,1,,1,,1,,1,,2,,200,100,100,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,1,1,,1,,1,,1,,1,,2,,200,200,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,1,1,,1,,1,,1,,1,3,2,,200,200,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,1,1,,1,,1,,1,,1,,2,,100,100,,
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,1,2,14,3,136,1,1,2,3,2,5,2,2,2,3,5,,0,6,,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,2,2,7,2,5,1,,2,2,5,,0,5,0,,,
"0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,2,2,7,2,4,2,2,2,5,5,,0,,0,,,
"0101030010611201","01010300106112","01010300106",0,768.159851074219,1,1,3,1,6,112,1,2,2,7,2,4,2,2,2,5,5,,0,,,,,
"0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,1,1,,1,,1,,1,,1,,1,3,150,75,75,0
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,1,3,18,4,4,1,1,1,,1,,2,6,1,,1,,1,6,50,27,23,
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,1,1,3,18,4,19,1,1,1,,1,,2,2,1,,1,,0,6,50,20,20,
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,1,3,18,4,34,1,1,1,,1,,2,2,1,,4,,0,1,15,8,7,
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,1,1,3,18,4,49,1,1,2,7,2,5,2,2,2,2,5,,1,6,,,,
"0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,1,3,18,4,69,1,1,2,3,2,5,2,2,2,5,5,,0,1,0,,,
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,1,3,18,4,85,1,1,1,,1,,2,3,1,,1,,2,,50,25,25,
"0101030180410001","01010301804100","01010301804",1,3901.22436523438,1,1,3,18,4,100,1,1,2,3,2,5,2,2,2,5,5,,1,2,,,,
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,1,3,18,4,115,1,1,1,,1,,1,,1,,1,,1,3,50,8,9,
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,1,3,18,4,130,1,1,1,,1,,1,,1,,1,,1,,50,9720,8,
