holder_id,household_id,household_id2,ea_id,ea_id2,rural,pw2,saq01,saq02,saq03,saq04,saq05,saq06,pp_saq07,pp_s7q01,pp_s7q02,pp_s7q03,pp_s7q03_other,pp_s7q04,pp_s7q05,pp_s7q05_other,pp_s7q06,pp_s7q07,pp_s7q07_other,pp_s7q08,pp_s7q09,pp_s7q09_other,pp_s7q10_a,pp_s7q10_a_other,pp_s7q10_b,pp_s7q11,pp_s7q12,pp_s7q12_other,pp_s7q13,pp_s7q14,pp_s7q15,pp_s7q16a,pp_s7q16b,pp_s7q17,pp_s7q18_a,pp_s7q18_b,pp_s7q19,pp_s7q20_a,pp_s7q20_b,pp_s7q20_c,pp_s7q21,pp_s7q22,pp_s7q23_a,pp_s7q23_b,hh_saq01,hh_saq02,hh_saq03,hh_saq04,hh_saq05,hh_saq06,hh_saq07,hh_saq08
0101010160100202,01010101601002,010101088801601002,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,2,2,Yes,Yes,,,Yes,,,No,Other Specify,I have my own cash,Yes,,,Governement Organization,,,3,,,50,50,0,50,0,Yes,Yekatit,2005,20,Trenches,,,2,2,yebiet wust sra slalat,,Tigray,1,1,8,88,16,1,2
0101010160101701,01010101601017,010101088801601017,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,17,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,,,,50,50,0,50,0,Yes,Yekatit,2005,20,Trenches,,,1,2,,,Tigray,1,1,8,88,16,1,17
0101010160103401,01010101601034,010101088801601034,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,34,1,Yes,No,Other Specify,DOUBT ON USEFULNESS,No,Other Specify,Because I am old,No,Unable to Pay the Loan,,No,Other Specify,,Never Used Fertilizer,,,0,Using Borrowed Oxen,,0,0,0,0,0,No,,,,,,,1,,,,Tigray,1,1,8,88,16,1,34
0101010160104901,01010101601049,010101088801601049,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,49,1,Yes,No,Other Specify,DOUBT ON USEFULNESS,No,Other Specify,Ignorance,No,Unable to Pay the Loan,,No,Other Specify,I don't need the advisory services,Never Used Fertilizer,,,0,Digging,,0,0,0,0,0,Yes,Yekatit,2005,20,Trenches,,,1,1,,,Tigray,1,1,8,88,16,1,49
0101010160106401,01010101601064,010101088801601064,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,64,1,Yes,No,Skeptical of the Outcome,,Yes,,,No,Other Specify,I have my own cash,Yes,,,Never Used Fertilizer,,,0,Other (Specify),I Don't have farm land/ I haven't caltivated,0,0,0,0,0,No,,,,,,,1,2,,,Tigray,1,1,8,88,16,1,64
0101010160108001,01010101601080,010101088801601080,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,80,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,0,Using Borrowed Oxen,,50,50,0,50,0,Yes,Yekatit,2005,20,Trenches,,,1,,,,Tigray,1,1,8,88,16,1,80
0101010160108701,01010101601087,010101088801601087,01010101601,010101088801601,Rural,2062.287841796875,Tigray,1,1,16,1,87,1,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Governement Organization,,,1,By Pairing Mine with Someone's Ox,,50,0,0,50,0,Yes,Yekatit,2005,20,Trenches,,,1,2,,,Tigray,1,1,8,88,16,1,87
0101010160110101,01010101601101,010101088801601101,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,101,1,Yes,No,Other Specify,DOUBT ON USEFULNESS,Yes,,,No,Other Specify,I have my own cash,Yes,,,Never Used Fertilizer,,,1,By Renting Ox,,0,0,0,0,0,Yes,Yekatit,2005,20,Trenches,,,1,1,yebiet sra slemtsera,,Tigray,1,1,8,88,16,1,101
0101010160111601,01010101601116,010101088801601116,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,116,1,Yes,No,Lack of Money,,Yes,,,No,Unable to Pay the Loan,,Yes,,,Never Used Fertilizer,,,0,Using Borrowed Oxen,,0,0,0,0,0,Yes,Yekatit,2005,20,Trenches,,,1,2,,,Tigray,1,1,8,88,16,1,116
0101010160113101,01010101601131,010101088801601131,01010101601,010101088801601,Rural,2443.017822265625,Tigray,1,1,16,1,131,1,Yes,Yes,,,Yes,,,No,Other Specify,I have my own cash,Yes,,,Governement Organization,,,0,By Renting Ox,,0,0,50,0,50,Yes,Yekatit,2005,20,Terracing,,,1,2,,,Tigray,1,1,8,88,16,1,131
