"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_s7q01","pp_s7q02","pp_s7q03","pp_s7q04","pp_s7q05","pp_s7q06","pp_s7q06_1","pp_s7q07","pp_s7q08","pp_s7q09","pp_s7q10_a","pp_s7q10_b","pp_s7q11","pp_s7q12","pp_s7q12a","pp_s7q12b","pp_s7q12c","pp_s7q12d","pp_s7q12e","pp_s7q13","pp_s7q14","pp_s7q15","pp_s7q15a","pp_s7q15b","pp_s7q16a","pp_s7q16b","pp_s7q16b_2","pp_s7q16b_3","pp_s7q16c_a","pp_s7q16c_b","pp_s7q16c_c","pp_s7q17","pp_s7q18_a","pp_s7q18_b","pp_s7q19","pp_s7q20_a","pp_s7q20_b","pp_s7q20_c","pp_s7q20a","pp_s7q20b_a","pp_s7q20b_b","pp_s7q20b_c","pp_s7q20c","pp_s7q20d","pp_s7q20e","pp_s7q20f","pp_s7q21","pp_s7q21b","pp_s7q22","pp_s7q23_a","pp_s7q23_b","pp_s7q23_c","pp_s7q24","pp_s7q25","pp_s7q26","pp_s7q27","pp_s7q28","pp_s7q29","pp_s7q30","pp_s7q31","pp_s7q32","pp_s7q33","obs","STRUCTURE_ERROR","hh_saq01","hh_saq02","hh_saq03","hh_saq04","hh_saq05","hh_saq06","hh_saq07","hh_saq08"
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,"01010101601",1,1,1,16,1,2,1,2,1,,1,,2,,2,2,5,4,,0,6,1,4,3,2,,50,50,0,0,0,50,0,0,0,,,,2,,,,,,,2,,,,,2,,2,2,2,2,,,,3,3,2,7,2,7,7,2,2,2,1,,1,1,1,8,88,16,1,2
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,1,2,7,1,,1,1,,1,,6,,1,1,1,8,6,1,3,0,0,0,0,0,0,0,0,0,,,,1,7,2007,6,4,,,2,,,,,2,,2,1,3,5,,,,3,2,2,1,3,1,2,2,3,2,1,,1,1,1,8,88,16,1,17
"0101010160103401","01010101601034","010101088801601034",1,2897.15502929688,"01010101601",1,1,1,16,1,34,1,2,2,7,2,1,2,,2,2,5,6,,0,7,0,1,0,2,,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,2,,,,,2,,2,6,6,6,,,,3,3,6,6,6,6,6,6,6,6,1,,1,1,1,8,88,16,1,34
"0101010160104901","01010101601049","010101088801601049",1,2897.15502929688,"01010101601",1,1,1,16,1,49,1,2,2,3,2,2,2,,2,2,3,6,,0,5,0,2,1,2,,0,0,0,0,0,0,0,0,0,,,,1,5,2007,1,12,,,2,,,,,2,,2,2,6,2,,,,3,3,2,2,6,6,6,2,6,6,1,,1,1,1,8,88,16,1,49
"0101010160106401","01010101601064","010101088801601064",1,2897.15502929688,"01010101601",1,1,1,16,1,64,1,2,2,7,2,7,1,1,,2,2,6,,0,6,0,2,1,2,,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,2,,,,,2,,2,5,5,6,,,,3,3,5,1,5,1,1,5,5,1,1,,1,1,1,8,88,16,1,64
"0101010160108001","01010101601080","010101088801601080",1,2897.15502929688,"01010101601",1,1,1,16,1,80,1,1,1,,1,,1,1,,2,2,4,,0,6,0,5,3,2,,6,6,0,0,0,6,0,0,0,,,,1,5,2007,3,4,12,,2,,,,,2,,2,2,2,2,,,,3,3,2,2,2,2,2,2,2,2,1,,1,1,1,8,88,16,1,80
"0101010160108701","01010101601087","010101088801601087",1,2445.65063476563,"01010101601",1,1,1,16,1,87,1,2,2,7,2,5,2,,6,1,,6,,2,,2,2,1,2,,0,0,0,0,0,0,0,0,0,,,,1,3,2007,7,12,6,,2,,,,,2,,2,1,1,1,3,5,6,3,2,3,2,3,1,2,3,3,3,1,,1,1,1,8,88,16,1,87
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,"01010101601",1,1,1,16,1,101,1,1,1,,1,,1,1,,1,,4,,2,,1,9,7,2,,50,50,0,0,0,50,0,0,0,,,,1,7,2007,7,3,4,,2,,,,,2,,2,5,5,5,,,,3,3,5,5,5,1,2,5,5,5,1,,1,1,1,8,88,16,1,101
"0101010160111601","01010101601116","010101088801601116",1,2897.15502929688,"01010101601",1,1,1,16,1,116,1,1,1,,1,,2,,2,1,,4,,2,,0,9,8,2,,50,50,0,0,0,50,0,0,0,,,,1,6,2007,19,4,7,,2,,,,,2,,2,1,2,5,,,,3,3,3,1,3,1,5,3,3,5,1,,1,1,1,8,88,16,1,116
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,"01010101601",1,1,1,16,1,131,2,1,1,,1,,1,1,,1,,4,,1,1,1,12,10,2,,50,0,50,0,0,0,500,0,0,,,,1,6,2007,20,4,3,2,2,,,,,2,,2,2,3,2,,,,3,3,2,5,2,5,2,2,2,2,1,,1,1,1,8,88,16,1,131
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,1,2,3,2,2,1,1,,2,2,6,,0,1,0,8,7,2,,0,0,0,0,0,0,0,0,0,,,,1,8,2007,3,1,3,7,2,,,,,2,,2,1,6,5,,,,3,3,1,5,6,6,6,5,6,6,1,,1,1,1,8,88,16,1,146
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,"01010201403",1,1,2,14,3,1,1,1,1,,1,,2,,1,1,,4,,4,,4,15,12,2,,219,109,1103,0,0,109,110,0,0,,,,1,7,2007,20,1,,,2,,,,,2,,2,5,5,5,,,,3,3,2,2,5,1,2,5,5,2,1,,1,1,2,8,88,14,3,1
"0101020140301101","01010201403011","010102088801403011",1,2492.767578125,"01010201403",1,1,2,14,3,11,1,1,1,,1,,2,,2,1,,4,,1,2,1,12,10,2,,150,100,50,0,0,85,36,0,0,4,,,2,,,,,,,2,,,,,2,,2,5,5,2,,,,3,3,2,4,2,3,2,2,2,2,1,,1,1,2,8,88,14,3,11
"0101020140301601","01010201403016","010102088801403016",1,2492.767578125,"01010201403",1,1,2,14,3,16,1,1,1,,1,,2,,2,1,,4,,2,,2,13,10,1,3,150,100,50,0,0,77,50,0,0,4,,,1,7,2007,20,1,3,,2,,,,,2,,2,5,2,1,3,4,5,3,3,5,2,1,1,2,2,1,2,1,,1,1,2,8,88,14,3,16
"0101020140302601","01010201403026","010102088801403026",1,2492.767578125,"01010201403",1,1,2,14,3,26,1,1,1,,1,,2,,2,1,,4,,1,2,1,7,5,2,,50,50,0,0,0,50,0,0,0,,,,1,10,2006,6,7,2,,2,,,,,2,,2,2,4,2,,,,3,3,2,2,2,2,2,2,2,2,1,,1,1,2,8,88,14,3,26
"0101020140303101","01010201403031","010102088801403031",1,2492.767578125,"01010201403",1,1,2,14,3,31,1,1,1,,1,,2,,2,1,,4,,2,,3,14,11,2,,260,200,60,0,0,180,60,0,0,4,,,1,11,2007,12,7,2,3,2,,,,,2,,2,5,5,5,,,,3,3,5,2,1,1,2,2,5,5,1,,1,1,2,8,88,14,3,31
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,"01010201403",1,1,2,14,3,36,1,1,1,,1,,2,,1,1,,4,,2,,2,16,13,2,,150,100,50,0,0,100,50,0,0,,,,1,7,2007,4,1,,,2,,,,,2,,2,5,5,5,,,,3,3,5,2,5,1,2,5,5,5,1,,1,1,2,8,88,14,3,36
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,"01010201403",1,1,2,14,3,46,1,1,1,,1,,2,,1,1,,4,,2,,2,18,15,2,,304,250,54,0,0,250,54,0,0,,,,1,6,2007,12,1,7,,2,,,,,2,,2,5,5,5,,,,3,3,5,1,5,1,2,5,5,2,1,,1,1,2,8,88,14,3,46
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,"01010201403",1,1,2,14,3,61,1,1,1,,1,,2,,1,1,,4,,5,,5,20,19,2,,333,300,33,0,0,300,33,0,0,,,,1,9,2007,10,1,7,11,2,,,,,2,,2,5,5,5,,,,3,3,5,2,1,5,2,5,5,5,1,,1,1,2,8,88,14,3,61
"0101020140309101","01010201403091","010102088801403091",1,2492.767578125,"01010201403",1,1,2,14,3,91,1,1,1,,1,,2,,1,1,,4,,2,,2,12,10,2,,130,100,30,0,0,100,30,0,0,,,,1,7,2007,20,1,3,7,2,,,,,2,,2,5,5,5,,,,3,3,5,1,5,1,2,2,5,5,1,,1,1,2,8,88,14,3,91
"0101020140310601","01010201403106","010102088801403106",1,2492.767578125,"01010201403",1,1,2,14,3,106,1,1,1,,1,,2,,1,1,,4,,2,,2,15,13,2,,156,100,56,0,0,100,50,0,0,,,,1,6,2007,20,1,7,,2,,,,,2,,2,5,5,5,,,,3,3,5,1,5,1,2,5,5,3,1,,1,1,2,8,88,14,3,106
