zone,state,lga,sector,ea,hhid,plotid,s11cq1,s11cq2a,s11cq2b,s11cq2c,s11cq3a,s11cq3b,s11cq4a,s11cq4b,s11cq5a,s11cq5b,s11cq6,s11cq7a,s11cq7b,s11cq8a,s11cq8b,s11cq9,s11cq10,s11cq11a,s11cq11b,s11cq11c,s11cq12a,s11cq12b,s11cq13a,s11cq13b,s11cq14a,s11cq14b,s11cq15,s11cq16a,s11cq16b,s11cq17a,s11cq17b,s11cq18,s11cq19,s11cq20,s11cq21,s11cq22a,s11cq22b,s11cq23a,s11cq23b,s11cq24a,s11cq24b,s11cq24c,s11cq25,s11cq26,s11cq27,s11cq28a,s11cq28b,s11cq28c,s11cq28d,s11cq28e,s11cq28f,s11cq28g,s11cq29,s11cq30a,s11cq30b,s11cq30c,s11cq30d,s11cq30e,s11cq30f,s11cq30g,s11cq31a,s11cq31b,s11cq32,s11cq33,s11cq34
4,1,115,1,670,10005,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10011,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10011,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10012,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10013,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10013,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10013,3,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10015,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10015,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10016,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10017,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10017,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10018,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10018,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10019,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10019,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10020,1,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,104,2,1364,10020,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,106,2,880,10021,1,1,1,1,,N1,,2500,NA,0,NA,2,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
4,1,106,2,880,10021,2,1,1,1,,N1,,2500,NA,0,NA,2,NA,NA,,,2,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,2,2,NA,NA,,,NA,NA,NA,NA,,NA,2,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
