zone,state,lga,sector,ea,hhid,plotid,s11c1q1a1,s11c1q1a2,s11c1q1a3,s11c1q1a4,s11c1q1b1,s11c1q1b2,s11c1q1b3,s11c1q1b4,s11c1q1c1,s11c1q1c2,s11c1q1c3,s11c1q1c4,s11c1q1d1,s11c1q1d2,s11c1q1d3,s11c1q1d4,s11c1q2,s11c1q3,s11c1q4,s11c1q5,s11c1q6,s11c1q7,s11c1q8,s11c1q9,s11c1q10,tracked_obs
4,1,104,2,1364,10012,1,2,5,4,5,4,3,2,8,5,3,2,8,NA,NA,NA,NA,3,2,1000,2,3,600,NA,NA,NA,0
4,1,104,2,1364,10012,2,2,5,4,5,4,3,2,8,8,3,2,8,NA,NA,NA,NA,2,3,1000,2,3,600,NA,NA,NA,0
4,1,104,2,1364,10013,1,1,30,3,4,2,25,2,4,6,25,3,4,NA,NA,NA,NA,2,2,1000,3,2,600,NA,NA,NA,0
4,1,104,2,1364,10013,2,1,30,3,4,2,25,2,4,6,25,3,4,NA,NA,NA,NA,2,2,1000,3,2,600,NA,NA,NA,0
4,1,104,2,1364,10014,1,1,30,4,4,2,25,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1000,3,2,600,NA,NA,NA,0
4,1,104,2,1364,10015,1,1,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,750,3,3,600,NA,NA,NA,0
4,1,104,2,1364,10015,2,1,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,750,3,3,600,NA,NA,NA,0
4,1,104,2,1364,10016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,104,2,1364,10016,2,1,24,5,5,2,24,4,8,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1000,NA,NA,NA,NA,NA,NA,0
4,1,104,2,1364,10018,1,1,25,1,5,2,30,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,700,2,2,600,NA,NA,NA,0
4,1,104,2,1364,10019,1,1,28,6,7,6,28,2,5,7,28,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10021,1,1,8,5,4,2,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,700,3,3,500,NA,NA,NA,0
4,1,106,2,880,10021,2,1,6,5,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,700,4,3,500,NA,NA,NA,0
4,1,106,2,880,10021,3,1,5,5,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,700,5,3,500,NA,NA,NA,0
4,1,106,2,880,10022,1,1,7,6,4,2,7,6,4,3,3,6,4,NA,NA,NA,NA,3,2,700,4,3,500,NA,NA,NA,0
4,1,106,2,880,10022,2,1,7,6,4,2,7,6,4,3,3,6,4,NA,NA,NA,NA,4,3,700,5,3,500,NA,NA,NA,0
4,1,106,2,880,10022,3,1,7,6,4,2,7,6,4,3,3,6,4,NA,NA,NA,NA,3,2,700,4,3,500,NA,NA,NA,0
4,1,106,2,880,10023,1,1,9,6,4,2,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,700,5,4,500,NA,NA,NA,0
4,1,106,2,880,10023,2,1,9,6,4,2,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,700,4,4,500,NA,NA,NA,0
4,1,106,2,880,10023,3,1,9,6,4,2,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,700,3,4,500,NA,NA,NA,0
4,1,106,2,880,10024,1,2,32,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,800,3,3,500,NA,NA,NA,0
4,1,106,2,880,10025,1,1,20,3,4,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,800,3,4,500,NA,NA,NA,0
4,1,106,2,880,10025,2,1,20,3,4,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,800,3,4,500,NA,NA,NA,0
4,1,106,2,880,10025,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10026,1,1,30,3,4,2,25,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,800,3,2,500,NA,NA,NA,0
4,1,106,2,880,10027,1,1,24,3,4,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10027,2,1,24,3,4,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,700,2,2,700,NA,NA,NA,0
4,1,106,2,880,10027,3,1,24,3,4,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,700,2,2,700,NA,NA,NA,0
4,1,106,2,880,10029,1,1,24,6,6,2,24,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
4,1,106,2,880,10029,2,1,24,6,6,2,24,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
4,1,106,2,880,10029,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10030,1,1,24,2,3,2,20,4,3,4,3,2,1,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10030,2,1,24,2,3,2,20,4,3,4,3,2,1,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10030,3,1,24,2,3,2,20,4,3,4,3,2,1,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,106,2,880,10030,4,1,24,2,3,2,20,4,3,4,3,2,1,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,111,1,1146,10034,1,2,1,3,3,9,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,102,1,1690,10057,1,1,24,6,4,2,30,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,107,2,1044,10061,1,1,26,2,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,700,1,2,600,NA,NA,NA,0
4,1,107,2,1044,10061,2,1,10,2,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,1,2,600,NA,NA,NA,0
4,1,107,2,1044,10061,3,1,26,3,6,2,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,107,2,1044,10061,4,1,24,3,6,2,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,107,2,1044,10062,1,1,24,3,4,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,600,3,4,600,NA,NA,NA,0
4,1,107,2,1044,10062,2,1,24,3,4,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,600,3,4,600,NA,NA,NA,0
4,1,107,2,1044,10062,3,1,24,3,4,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,600,2,2,600,NA,NA,NA,0
4,1,107,2,1044,10062,4,1,24,4,3,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,600,2,2,600,NA,NA,NA,0
4,1,107,2,1044,10063,1,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,800,4,4,500,NA,NA,NA,0
4,1,107,2,1044,10063,2,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10063,3,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10064,1,1,6,4,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,700,5,4,NA,NA,NA,NA,0
4,1,107,2,1044,10064,2,1,6,4,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4,700,5,4,NA,NA,NA,NA,0
4,1,107,2,1044,10064,3,1,6,4,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,700,5,4,NA,NA,NA,NA,0
4,1,107,2,1044,10065,1,2,6,4,4,3,4,3,4,4,4,3,4,NA,NA,NA,NA,2,3,800,3,3,500,NA,NA,NA,0
4,1,107,2,1044,10065,2,2,6,4,4,3,4,3,4,4,4,3,4,NA,NA,NA,NA,2,3,800,3,3,500,NA,NA,NA,0
4,1,107,2,1044,10065,3,2,6,4,4,3,4,3,4,4,4,3,4,NA,NA,NA,NA,2,3,800,3,3,500,NA,NA,NA,0
4,1,107,2,1044,10066,1,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,800,4,4,500,NA,NA,NA,0
4,1,107,2,1044,10066,2,2,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,800,4,4,500,NA,NA,NA,0
4,1,107,2,1044,10066,3,2,20,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,800,3,2,500,NA,NA,NA,0
4,1,107,2,1044,10067,1,1,35,4,4,2,35,4,4,4,30,3,4,NA,NA,NA,NA,3,2,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10067,2,1,35,4,4,2,35,4,4,4,30,3,4,NA,NA,NA,NA,3,2,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10067,3,1,35,4,4,2,35,4,4,4,30,3,4,NA,NA,NA,NA,3,2,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10067,4,1,35,4,4,2,35,4,4,4,30,3,4,NA,NA,NA,NA,2,2,800,4,4,500,NA,NA,NA,0
4,1,107,2,1044,10068,1,2,25,4,5,3,15,3,4,4,15,3,4,NA,NA,NA,NA,2,3,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10068,2,2,25,4,5,3,15,3,4,4,15,3,4,NA,NA,NA,NA,2,3,800,5,4,500,NA,NA,NA,0
4,1,107,2,1044,10069,1,1,28,4,6,9,28,4,6,3,28,2,6,2,28,2,6,2,1,1000,3,2,600,NA,NA,NA,0
4,1,107,2,1044,10069,2,1,28,3,6,9,28,4,6,3,28,2,6,2,28,2,6,2,1,1000,3,2,600,NA,NA,NA,0
4,1,107,2,1044,10069,3,1,28,3,6,9,28,2,6,3,28,1,6,2,28,2,5,2,1,1000,2,2,600,NA,NA,NA,0
4,1,107,2,1044,10069,4,1,28,3,6,9,28,3,6,3,28,2,6,2,28,1,5,2,2,1000,4,2,600,NA,NA,NA,0
4,1,107,2,1044,10069,5,1,28,2,6,9,28,2,6,3,28,1,6,2,28,1,5,2,2,1000,4,2,600,NA,NA,NA,0
4,1,107,2,1044,10070,1,2,28,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,600,2,3,600,NA,NA,NA,0
4,1,107,2,1044,10070,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10071,1,1,35,2,7,2,35,3,7,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1000,3,3,700,NA,NA,NA,0
4,1,117,2,560,10071,2,1,35,2,7,2,35,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10073,1,1,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,2,2,500,NA,NA,NA,0
4,1,117,2,560,10073,2,1,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,2,2,500,NA,NA,NA,0
4,1,117,2,560,10074,1,1,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2000,2,1,1200,NA,NA,NA,0
4,1,117,2,560,10074,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10075,1,1,35,3,4,3,20,2,4,NA,NA,NA,NA,NA,NA,NA,NA,6,3,700,2,3,700,NA,NA,NA,0
4,1,117,2,560,10075,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10075,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10075,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10075,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10076,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10076,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10077,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10078,1,2,8,4,7,4,8,5,7,5,6,3,7,NA,NA,NA,NA,5,3,NA,2,2,NA,NA,NA,NA,0
4,1,117,2,560,10078,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,117,2,560,10078,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,2,2,NA,NA,NA,NA,0
4,1,117,2,560,10078,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,2,2,NA,NA,NA,NA,0
4,1,117,2,560,10079,1,1,30,2,6,2,35,4,8,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,3,3,600,NA,NA,NA,0
4,1,117,2,560,10079,2,1,30,2,6,2,35,4,8,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,3,3,600,NA,NA,NA,0
4,1,117,2,560,10080,1,1,32,4,5,2,32,2,5,8,32,4,5,NA,NA,NA,NA,3,2,1000,2,2,800,2,NA,NA,0
4,1,117,2,560,10080,2,1,32,4,5,2,32,2,5,8,32,4,5,NA,NA,NA,NA,2,2,1000,2,2,800,2,NA,NA,0
4,1,117,2,560,10080,3,1,32,4,5,2,32,2,5,8,32,4,5,NA,NA,NA,NA,2,2,1000,2,2,800,2,NA,NA,0
4,1,117,2,560,10080,4,1,32,4,5,2,32,2,5,8,32,4,5,NA,NA,NA,NA,2,2,1000,2,2,800,2,NA,NA,0
4,1,117,2,560,10080,5,1,32,4,5,2,32,2,5,8,32,4,5,NA,NA,NA,NA,2,2,1000,2,2,800,2,NA,NA,0
4,1,110,2,76,10081,1,1,15,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,1,2,600,NA,NA,NA,0
4,1,110,2,76,10081,2,1,15,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,NA,NA,NA,NA,NA,NA,0
4,1,110,2,76,10082,1,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,1,2,600,NA,NA,NA,0
4,1,110,2,76,10084,1,1,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,700,2,2,500,NA,NA,NA,0
4,1,110,2,76,10084,2,1,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,700,2,2,500,NA,NA,NA,0
4,1,110,2,76,10084,3,1,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,700,2,2,500,NA,NA,NA,0
4,1,110,2,76,10084,4,1,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,700,2,2,500,NA,NA,NA,0
4,1,110,2,76,10087,1,1,28,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,500,NA,NA,NA,0
4,1,110,2,76,10087,2,2,20,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,500,NA,NA,NA,0
4,1,110,2,76,10088,1,2,35,3,6,5,25,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,500,NA,NA,NA,0
4,1,110,2,76,10088,2,2,35,2,5,5,25,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,500,NA,NA,NA,0
4,1,110,2,76,10088,3,2,35,2,4,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,500,NA,NA,NA,0
4,1,110,2,76,10089,1,2,28,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,500,NA,NA,NA,0
4,1,110,2,76,10089,2,2,28,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,500,NA,NA,NA,0
4,1,110,2,76,10089,3,2,28,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,500,NA,NA,NA,0
4,1,105,2,638,10091,1,1,24,4,6,2,24,4,6,4,24,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,700,NA,NA,NA,0
4,1,105,2,638,10091,2,1,24,4,6,2,24,4,6,4,24,1,3,NA,NA,NA,NA,NA,NA,NA,3,4,700,NA,NA,NA,0
4,1,105,2,638,10091,3,1,24,4,6,2,24,4,6,4,24,1,3,NA,NA,NA,NA,NA,NA,NA,3,3,700,NA,NA,NA,0
4,1,105,2,638,10091,4,1,24,4,6,2,24,4,6,4,24,1,3,NA,NA,NA,NA,NA,NA,NA,5,4,700,NA,NA,NA,0
4,1,105,2,638,10091,5,1,24,4,6,2,24,4,6,4,24,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,105,2,638,10092,1,1,35,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,700,4,2,500,NA,NA,NA,0
4,1,105,2,638,10092,2,1,35,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,700,4,2,500,NA,NA,NA,0
4,1,105,2,638,10094,1,1,35,2,6,2,35,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1000,3,2,700,NA,NA,NA,0
4,1,105,2,638,10094,2,1,35,2,6,2,35,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1000,3,2,700,NA,NA,NA,0
4,1,105,2,638,10096,1,3,10,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,700,6,2,600,NA,NA,NA,0
4,1,105,2,638,10096,2,3,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,700,5,2,600,NA,NA,NA,0
4,1,105,2,638,10096,3,3,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,700,1,2,600,NA,NA,NA,0
4,1,105,2,638,10097,1,NA,NA,NA,NA,2,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,600,2,3,500,NA,NA,NA,0
4,1,105,2,638,10097,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,600,2,2,500,NA,NA,NA,0
4,1,105,2,638,10099,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,700,3,8,500,NA,NA,NA,0
4,1,105,2,638,10100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,105,2,638,10100,2,2,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,600,2,3,500,NA,NA,NA,0
4,1,105,2,638,10100,3,2,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,600,2,3,500,NA,NA,NA,0
4,1,108,2,904,10102,1,1,30,2,7,2,25,2,7,3,25,2,7,NA,NA,NA,NA,2,1,1200,3,2,500,NA,NA,NA,0
4,1,108,2,904,10102,2,1,30,2,7,2,25,2,7,3,25,2,7,NA,NA,NA,NA,2,1,1200,3,2,500,NA,NA,NA,0
4,1,108,2,904,10102,3,1,30,2,7,2,25,2,7,3,25,2,7,NA,NA,NA,NA,3,2,1200,4,3,500,NA,NA,NA,0
4,1,108,2,904,10103,1,1,28,3,5,2,28,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1200,3,2,700,NA,NA,NA,0
4,1,108,2,904,10103,2,1,28,3,5,2,28,4,5,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1200,4,2,700,NA,NA,NA,0
4,1,108,2,904,10105,1,1,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,12500,6,6,NA,NA,NA,NA,0
4,1,108,2,904,10106,1,1,6,4,8,3,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,700,3,3,500,NA,NA,NA,0
