"zone","state","lga","sector","ea","hhid","plotid","s11c1q1a1","s11c1q1a2","s11c1q1a3","s11c1q1a4","s11c1q1b1","s11c1q1b2","s11c1q1b3","s11c1q1b4","s11c1q1c1","s11c1q1c2","s11c1q1c3","s11c1q1c4","s11c1q1d1","s11c1q1d2","s11c1q1d3","s11c1q1d4","s11c1q2","s11c1q3","s11c1q4","s11c1q5","s11c1q6","s11c1q7","s11c1q8","s11c1q9","s11c1q10","s11c1q11","s11c1q12","s11c1q12_os"
4,1,105,2,0,10009,1,1,17,3,1,2,18,3,3,6,18,1,1,,,,,1,5,5000,0,,,0,,,1,,
4,1,105,2,0,10009,2,1,13,2,1,2,14,2,3,6,12,1,1,,,,,1,5,5000,0,,,0,,,1,,
4,1,105,2,0,10009,3,1,17,3,2,2,18,4,3,6,18,1,1,,,,,1,5,4000,0,,,0,,,1,,
4,1,104,2,1364,10011,1,1,12,2,5,2,10,3,5,3,14,4,7,4,12,4,9,3,2,3500,2,3,2500,0,,,2,1,
4,1,104,2,1364,10012,1,2,10,2,3,4,8,2,3,5,8,4,3,,,,,4,2,4000,3,3,2400,0,,,2,1,
4,1,104,2,1364,10012,2,2,10,2,3,4,8,2,3,5,8,4,3,,,,,5,2,5000,3,3,2400,0,,,2,1,
4,1,104,2,1364,10013,1,1,20,3,4,2,19,3,3,,,,,,,,,3,1,4500,4,1,4000,0,,,2,3,
4,1,104,2,1364,10013,2,1,18,3,3,2,16,3,3,,,,,,,,,3,1,4500,4,1,4000,0,,,2,3,
4,1,104,2,0,10015,1,2,20,3,4,,,,,,,,,,,,,2,1,2000,2,1,1500,0,,,2,3,
4,1,104,2,0,10015,2,2,18,4,3,,,,,,,,,,,,,2,1,2000,2,1,1500,0,,,2,3,
4,1,104,2,1364,10016,1,2,10,2,5,3,6,1,5,6,6,1,5,,,,,1,2,2000,0,,,0,,,2,1,
4,1,104,2,1364,10017,1,2,8,4,5,5,4,1,4,6,4,1,4,,,,,0,,,0,,,0,,,2,1,
4,1,104,2,1364,10018,1,1,5,2,3,2,7,4,6,,,,,,,,,1,2,2000,0,,,0,,,2,1,
4,1,104,2,1364,10019,1,1,24,5,7,2,14,3,5,3,12,3,5,,,,,3,1,5000,2,3,3000,0,,,2,2,
4,1,104,2,1364,10019,2,1,10,3,5,2,12,4,4,3,10,3,6,,,,,2,1,3000,2,3,3000,0,,,2,2,
4,1,106,2,880,10021,1,1,8,4,6,2,10,5,8,3,5,3,5,4,5,3,5,4,3,5000,3,4,2500,0,,,2,1,
4,1,106,2,880,10021,2,1,9,5,7,2,12,6,10,3,4,3,4,4,4,3,4,4,4,6000,3,4,2500,0,,,2,1,
4,1,106,2,880,10021,3,1,8,4,6,2,9,4,7,3,3,2,4,4,4,3,4,4,3,5000,3,4,2500,0,,,2,1,
4,1,106,2,880,10021,4,1,9,5,6,2,7,4,6,3,4,3,5,4,3,4,5,5,3,6000,3,4,2500,0,,,2,1,
4,1,106,2,880,10022,1,1,23,6,8,2,24,6,8,,,,,,,,,3,3,1000,3,4,700,0,,,2,1,
4,1,106,2,880,10022,2,1,22,6,6,2,22,6,7,,,,,,,,,3,3,1000,3,4,700,0,,,2,1,
4,1,106,2,880,10023,1,1,22,4,5,2,18,5,4,4,25,5,5,,,,,6,4,6000,4,2,2000,0,,,2,1,
4,1,106,2,880,10023,2,1,20,4,5,2,15,4,4,4,23,5,5,,,,,6,4,6000,4,2,2000,0,,,2,1,
4,1,106,2,880,10023,3,1,10,2,3,2,10,2,3,4,10,2,3,,,,,0,,,0,,,0,,,2,1,
4,1,106,2,880,10024,1,2,24,3,4,,,,,,,,,,,,,2,2,2000,3,3,1500,0,,,2,3,
4,1,106,2,880,10024,2,2,22,2,3,,,,,,,,,,,,,2,1,1000,2,2,1000,0,,,2,3,
4,1,106,2,880,10025,1,1,20,3,3,2,20,4,3,,,,,,,,,2,3,3000,4,3,1500,0,,,2,3,
4,1,106,2,880,10025,2,1,20,3,3,2,22,4,3,,,,,,,,,2,3,3000,4,3,1500,0,,,2,3,
4,1,106,2,880,10025,3,1,20,3,3,2,24,4,3,,,,,,,,,2,3,3000,4,3,1500,0,,,2,3,
4,1,106,2,880,10027,1,2,4,6,5,5,4,1,5,,,,,,,,,0,,,2,2,1400,0,,,2,1,
4,1,106,2,880,10027,2,2,4,6,5,5,4,1,5,,,,,,,,,0,,,2,2,1400,0,,,2,1,
4,1,106,2,880,10027,3,2,4,6,5,5,4,1,5,,,,,,,,,0,,,2,2,1400,0,,,2,1,
4,1,106,2,880,10029,1,1,15,4,7,2,25,5,4,,,,,,,,,6,4,6000,4,2,1000,0,,,2,1,
4,1,106,2,880,10029,2,1,18,5,7,2,21,5,4,,,,,,,,,6,4,6000,4,2,1000,0,,,2,1,
4,1,106,2,880,10030,1,1,12,5,7,2,14,6,8,4,4,5,6,,,,,3,2,4000,2,3,2000,0,,,2,2,
4,1,106,2,880,10030,2,1,7,5,7,2,10,4,7,4,6,4,7,,,,,3,4,5000,3,3,2500,0,,,2,2,
4,1,106,2,880,10030,3,1,8,5,6,2,7,6,6,4,7,5,6,,,,,2,4,3000,3,4,2500,0,,,2,2,
4,1,111,1,1146,10033,1,1,15,3,5,2,17,3,5,,,,,,,,,1,1,2000,1,2,1000,0,,,2,3,
4,1,102,1,1690,10057,1,2,8,2,6,3,3,1,6,4,3,1,6,5,3,1,6,0,,,0,,,0,,,2,1,
4,1,107,2,1044,10061,1,1,15,4,5,2,24,5,5,,,,,,,,,3,2,2000,8,3,1500,0,,,2,1,
4,1,107,2,1044,10061,2,1,15,4,5,2,24,5,5,,,,,,,,,3,3,3000,7,3,1500,0,,,2,1,
4,1,107,2,1044,10062,1,1,3,5,6,2,3,5,6,3,2,3,6,,,,,3,2,2400,0,,,0,,,2,1,
4,1,107,2,1044,10062,2,1,4,4,5,2,4,2,7,3,4,3,6,,,,,2,2,1600,0,,,0,,,2,1,
4,1,107,2,1044,10062,3,1,5,5,5,2,5,4,5,3,5,3,5,,,,,2,2,1600,0,,,0,,,2,1,
4,1,107,2,1044,10063,1,3,18,6,9,4,20,4,11,5,17,6,11,,,,,5,1,12000,4,3,2000,0,,,2,3,
4,1,107,2,1044,10063,2,3,14,5,9,4,16,5,10,5,15,5,9,,,,,3,2,7000,2,3,2000,0,,,2,3,
4,1,107,2,1044,10063,3,3,12,4,8,4,14,3,10,5,12,4,9,,,,,4,1,10000,3,3,2000,0,,,2,3,
4,1,107,2,1044,10063,4,3,12,4,10,4,12,3,9,5,10,4,7,,,,,3,2,7000,2,3,2000,0,,,2,3,
4,1,107,2,1044,10064,1,1,20,4,6,4,8,2,3,5,8,2,3,,,,,7,2,7000,3,3,2100,0,,,2,3,
4,1,107,2,1044,10064,2,1,20,4,6,4,8,2,3,5,8,2,3,,,,,5,1,5000,3,3,2100,0,,,2,3,
4,1,102,1,0,10065,1,2,28,5,4,3,16,3,3,5,16,3,3,,,,,4,1,6400,0,,,0,,,2,,
4,1,102,1,0,10065,2,2,28,5,4,3,16,3,3,5,16,3,3,,,,,6,1,9600,0,,,0,,,2,,
4,1,102,1,0,10065,3,2,28,3,3,3,16,2,3,5,16,2,3,,,,,0,,,0,,,0,,,2,,
4,1,107,2,1044,10066,1,2,21,3,4,6,18,2,3,,,,,,,,,5,1,5000,10,2,5000,0,,,2,3,
4,1,107,2,1044,10066,2,2,18,2,3,6,5,2,3,,,,,,,,,2,1,2000,3,2,1500,0,,,2,3,
4,1,107,2,1044,10066,3,2,20,3,4,6,15,2,3,,,,,,,,,5,1,5000,7,2,3500,0,,,2,3,
4,1,107,2,1044,10066,4,2,24,4,4,6,15,2,3,,,,,,,,,6,1,6000,7,2,3500,0,,,2,3,
4,1,107,2,1044,10066,5,2,24,4,4,6,15,2,3,,,,,,,,,6,1,6000,7,2,3500,0,,,2,3,
4,1,107,2,1044,10067,1,1,20,3,3,2,22,3,4,,,,,,,,,4,1,4800,5,2,3500,0,,,2,3,
4,1,107,2,1044,10067,2,1,21,2,3,2,24,3,4,,,,,,,,,4,1,4800,5,2,3500,0,,,2,3,
4,1,107,2,1044,10067,3,3,23,3,3,2,25,3,4,,,,,,,,,4,1,4800,5,2,3500,0,,,2,3,
4,1,107,2,1044,10068,1,2,20,3,3,,,,,,,,,,,,,4,1,4800,6,2,4200,0,,,2,3,
