"zone","state","lga","sector","ea","hhid","plotid","s11dq1","s11dq1a","s11dq2","s11dq3","s11dq3_os","s11dq4a","s11dq4b","s11dq5","s11dq5_os","s11dq5a","s11dq5b","s11dq5c1","s11dq5c2","s11dq5d","s11dq5e","sect11dq6","sect11dq7","sect11dq8a","sect11dq8b","sect11dq9a","sect11dq9b","s11dq10","s11dq11","s11dq12","s11dq13a","s11dq13b","s11dq14","s11dq15","s11dq15_os","s11dq16a","s11dq16b","s11dq17","s11dq18","s11dq18_os","s11dq19","s11dq20","s11dq21","s11dq22","s11dq23","s11dq24","s11dq25a","s11dq25b","s11dq26","s11dq27","s11dq28a","s11dq28b","s11dq29","s11dq30","s11dq30_os","s11dq31","s11dq32","s11dq33","s11dq34","s11dq35","s11dq36","s11dq37a","s11dq37b","s11dq38a","s11dq38b","s11dq39","s11dq40","s11dq41"
4,1,105,2,0,10009,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,100,6,,4500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,105,2,0,10009,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,100,6,,4500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,105,2,0,10009,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,100,6,,4500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,104,2,1364,10011,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,0,10015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,0,10015,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,0,,,,
4,1,104,2,1364,10017,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,1,0,,,,
4,1,104,2,1364,10018,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
